"Story","Title","Result","Date","Stability","Duration (s)"
"Delete employee list","Delete employee","SUCCESS","2022-08-28T15:38:29.36-05:00[America/Bogota]","0.0","2.96"
"Get info employee list","Info Employee","SUCCESS","2022-08-28T15:55:00.122-05:00[America/Bogota]","0.0","3.1"
